# Peringatan cek_dialog.py yang SUDAH ditinjau manual dan diterima (format: MODUL|kata|alasan)
A10|一點|十一點 = 十一 + 點 (jam), bukan 一點 'sedikit'
A20|車站|公車站 = 公車 + 站 (halte), susunan dari kata yang sudah diajarkan
A21|車站|火車站 = 火車 + 站
A22|頭痛|我頭痛 = 頭 + 痛 (pola topik–keterangan A22), bukan leksem 頭痛 L3
A23|頭痛|sama dengan A22
A23|以上|可以上課 = 可以 + 上課
B05|車站|火車站 = 火車 + 站
B13|有的|所有的 = 所有 + 的
B15|最好|說得最好 = 最 + 好
B16|車站|火車站 = 火車 + 站
B18|最好|天氣最好 = 最 + 好
B19|車站|火車站 = 火車 + 站
B39|頭痛|她頭痛 = 頭 + 痛 (topik–keterangan), opsi jawaban
B40|以下|所以下雨 = 所以 + 下雨
B43|看起來|dibawa poin grammar V起來1 (TBCL #86) di modul ini sendiri
C24|最好|去溫泉最好 = 最 + 好 (paling baik)
C57|不但|dibawa poin grammar 不但…還… (TBCL #125) di modul ini; kosakata 不但 resmi di C58
A05|歲了|他五十一歲了 = frasa leksikal (edit dialog Carli 2026-09-26); pola V了2 (TBCL #53) tetap diajarkan di B09
