# ID | judul (ujaran nyata) | adegan (ID) | kategori | grammar id | 核心 | 補充
A01|您好！我叫王大文。|Hari pertama di kelas bahasa: saling menyapa & menyebut nama|1|1,6|我 你 您 叫 名字 姓 是 什麼 好1 謝謝|先生 小姐 姓名 貴 早安 晚安 再見
A02|請問，你是哪國人？|Mengobrol dengan teman sekelas dari negara lain: asal negara & bahasa|1|7,5|請問 哪1 國 人 臺灣 臺灣人 外國 嗎 說 中文|話 英文 國家 他 她 妳 呢
A03|這是我爸爸。|Menunjukkan foto keluarga di ponsel|1|2,13|爸爸 媽媽 哥哥 姊姊 弟弟 妹妹 家人 的 誰 這|那 們 我們 你們 他們 它
A04|你家有幾個人？|Menjawab pertanyaan jumlah anggota keluarga|1|12,11|有 幾 個 一 二 兩 三 四 五 家|孩子 六 七 八 九 十 沒有 兒子 女兒 小孩 太太
A05|生日快樂！你今年幾歲？|Pesta ulang tahun teman: umur, tanggal lahir, shio|1|10|今年 歲 生日 快樂 年 月 號1 日 多 大|去年 明年 前年 後年 一月 老 雞 牛 豬
A06|我喜歡看電影。|Berkenalan lebih jauh: hobi & kesukaan|1,4|4|喜歡 愛 看1 電影 聽 歌 唱歌 運動 不 也|唱 跳 跳舞 畫 玩 都 週末 球
A07|她很漂亮！|Menggambarkan orang (teman, artis) dari penampilannya|1,7|15|很 高 矮 胖 瘦 漂亮 長1 短 像 美|男 女 太 真 真的 一樣
A08|你住在哪裡？|Bertukar alamat: tempat tinggal, lantai, pintu|2|8,14|住 在 房子 房間 哪裡/哪裏/哪兒 樓 門 門口 裡面/裏面|進 開 公園 外頭 附近
A09|桌子上有什麼？|Mencari barang di kamar: posisi benda|2|9|桌子/桌 椅子/椅 床 電視 上 下 前面 後 旁邊/旁 拿|前 裡/裏 外 邊 中1
A10|我每天七點起床。|Menceritakan rutinitas harian|2|—|每 天 起床 點 半 睡覺 早上 晚上 現在 做|上午 中午 下午 分 分鐘 小時 鐘頭 時候 時間 早 晚
A11|明天我們一起去吧！|Mengajak teman pergi: hari & rencana|6|—|今天 明天 昨天 星期 星期一 星期天/星期日 一起 去 吧 想|前天 後天 禮拜天 有時候/有時 常常/常 以前 以後 久 多久
A12|這是我們的老師。|Di kampus: siapa guru & teman sekelas|8|—|學 學生 老師 學校 同學 大學 教室 上課 下課 課|教1 讀 唸/念 功課 工作 忙
A13|這個字怎麼寫？|Bertanya kepada guru di kelas|8|—|字 寫 怎麼 書 筆 紙 意思 問 問題 懂|本 枝 張 句子 電腦 知道 用 再
A14|明天考試，好難！|Mengobrol sebelum ujian: sulit/mudah, benar/salah|8,16|—|考試 難1 容易 對 錯 覺得 非常 可以 會 怕|能 應該/應1 一定 可能 得1 得2 還1
A15|我要一杯咖啡。|Memesan minuman di kedai|10|—|要 喝 茶 咖啡 水 杯子/杯 牛奶 冰 甜 還是|酒 一點/一點點/一點兒 一些 少 別
A16|我們去吃飯吧！|Ajak makan: sarapan, makan siang, makan malam|10|—|吃 吃飯 飯 早餐/早飯 午餐/午飯 晚餐/晚飯 餓 飽 菜 肉|水果 魚 蛋 湯
A17|我要一碗牛肉麵。|Memesan makanan di warung/restoran|10|—|餐廳 碗 麵 筷子/筷 小吃 包子 麵包 位 請 和1|跟 先 然後 快 慢
A18|這個多少錢？|Belanja di toko: harga & membayar|9|—|買 東西 多少 錢 塊 元 百 一共/共 給 便宜|千 萬 夠 找 店 只 貴@mahal
A19|我想買這件衣服。|Memilih baju & sepatu: warna, ukuran|9|3|衣服/衣 件 鞋子/鞋 穿 新 舊 大@ukuran 小 紅 白|黑 有點/有一點/有點兒 比 不錯 可是
A20|我坐公車去學校。|Moda transportasi ke kampus/kantor|5|—|坐 公車 火車 飛機 計程車 開車 車子/車 走路 站 輛|來 到 方便 因為 所以
A21|請問，火車站怎麼走？|Bertanya arah di jalan|5|—|路 走 出 地方 左 右 右邊 從 就 又|過 看到 看見 馬上 起來
A22|我頭很痛。|Merasa tidak enak badan|7|—|頭 痛 身體 手 腳 眼睛 舒服 生病 感冒 累1|鼻子/鼻 耳朵 嘴巴/嘴 怎麼樣 沒 聽見
A23|你應該去看病。|Ke dokter & minum obat|7|—|醫生/醫師 看病 病 藥 休息 等 自己 大家 事/事兒 告訴1|為什麼
A24|今天好熱！|Mengobrol soal cuaca & jalan-jalan ke gunung|13|—|天氣 熱 冷 下雨 雨 風 空氣 山 花1/花兒 低|最
A25|我打電話給你。|Menelepon teman & memperkenalkan teman baru|6|—|打 電話 手機 朋友 見 介紹 說話 對不起 沒關係 帶|請@mentraktir
